#FamilyID	pvalue	Significant at 0.05
OG0000902	0	y
OG0000910	0	y
OG0000911	0	y
OG0000912	0	y
OG0000922	0	y
OG0000950	0.01	y
OG0000963	0	y
OG0000968	0	y
OG0000976	0	y
OG0000980	0	y
OG0000988	0.008	y
OG0001008	0.01	y
OG0001034	0.008	y
OG0001067	0.008	y
OG0001075	0.01	y
OG0001090	0	y
OG0001096	0	y
OG0001097	0	y
OG0001102	0.009	y
OG0001115	0.01	y
OG0001130	0	y
OG0001132	0.008	y
OG0001137	0.009	y
OG0001144	0.008	y
OG0001145	0	y
OG0001152	0.009	y
OG0001185	0.017	y
OG0001187	0.009	y
OG0001198	0	y
OG0001206	0	y
OG0001208	0.009	y
OG0001209	0.009	y
OG0001210	0.01	y
OG0001261	0.009	y
OG0001273	0.032	y
OG0001287	0.007	y
OG0001296	0.017	y
OG0001327	0.008	y
OG0001413	0.031	y
OG0001456	0.032	y
OG0001530	0.032	y
OG0001551	0	y
OG0001554	0.011	y
OG0001589	0.032	y
OG0001592	0.032	y
OG0001605	0	y
OG0001609	0.032	y
OG0001647	0.031	y
OG0001648	0.032	y
OG0001658	0.011	y
OG0001662	0.002	y
OG0001665	0.002	y
OG0001668	0.032	y
OG0001673	0	y
OG0001689	0.011	y
OG0001696	0.001	y
OG0001707	0.032	y
OG0001740	0.002	y
OG0001743	0.031	y
OG0001761	0.008	y
OG0001769	0.032	y
OG0001782	0.032	y
OG0001793	0.031	y
OG0001794	0.002	y
OG0001802	0.001	y
OG0001811	0.032	y
OG0001813	0.032	y
OG0001814	0.032	y
OG0001842	0.008	y
OG0001844	0.031	y
OG0001847	0.032	y
OG0001873	0.032	y
OG0001892	0.001	y
OG0001916	0.031	y
OG0001950	0.001	y
OG0001953	0.032	y
OG0001980	0.032	y
OG0001984	0.031	y
OG0001990	0.008	y
OG0001996	0.019	y
OG0002030	0.031	y
OG0002058	0.031	y
OG0002074	0.001	y
OG0002082	0.032	y
OG0002100	0.032	y
OG0002150	0.032	y
OG0002211	0.002	y
OG0002220	0.032	y
OG0002255	0	y
OG0002269	0.001	y
OG0002271	0.002	y
OG0002273	0.001	y
OG0002330	0	y
OG0002372	0.025	y
OG0002374	0.025	y
OG0002377	0.025	y
OG0002380	0.025	y
OG0002736	0.025	y
OG0002795	0.025	y
OG0002857	0	y
OG0002883	0.008	y
OG0003003	0.008	y
OG0003152	0.036	y
