OG0004055_00	GO:0006357,GO:0000978,GO:0000981,GO:0005634
OG0004389_00	GO:0005737,GO:0042562
OG0001430_00	GO:0045944,GO:0044545
OG0006844_00	GO:0005730,GO:0003729
OG0000385_00	GO:0050916,GO:0033041,GO:0007606
OG0001426_00	GO:0030134,GO:0000139,GO:0006888,GO:0005793,GO:0005789,GO:0005537
OG0000292_00	GO:0015179,GO:0005774,GO:0016020,GO:0003333
OG0000185_01	GO:0005783,GO:0016491
OG0004141_00	GO:0001919,GO:0043410,GO:0005085,GO:0060090,GO:0071230,GO:0005765,GO:0071986
OG0006349_00	GO:0007015,GO:0016477
OG0006671_00	GO:0005886,GO:0030027,GO:0034315,GO:0016477
OG0003481_00	GO:0098632,GO:0005886,GO:0007411,GO:0070593,GO:0007156,GO:0030424
OG0004516_00	GO:0004930,GO:0008188,GO:0005886,GO:0007186
OG0004307_00	GO:0016020
OG0002895_00	GO:0047238,GO:0030206,GO:0008376
OG0006477_00	GO:0005763
OG0000890_01	GO:0005615
OG0005723_00	GO:0030425,GO:0061599,GO:0045211,GO:0006777,GO:0098970,GO:0007529,GO:0005829,GO:0005737,GO:0099572,GO:0072579,GO:0097112
OG0006887_00	GO:0036064,GO:0042073,GO:0005930,GO:0030992
OG0007358_00	GO:0003723,GO:0005634
OG0005028_00	GO:0005634
OG0006530_00	GO:0004648,GO:0030170,GO:0005737,GO:0006564
OG0002992_00	GO:0000139,GO:0006506,GO:0005789
OG0004420_00	GO:0006511,GO:0061630,GO:0006397,GO:0005634,GO:0016567
OG0006905_00	GO:0005654,GO:0005730
OG0000778_00	GO:0080008
OG0001980_00	GO:0008083
OG0008469_00	GO:0005737,GO:0045104,GO:0016020,GO:0031122,GO:0030056,GO:0042060,GO:0005882,GO:0005198
OG0005840_00	GO:0005506,GO:0006636,GO:0005789,GO:0004768,GO:0016717
OG0008520_00	GO:0019005,GO:0031146
OG0007763_00	GO:0006123
OG0005949_00	GO:0005743,GO:0030003
OG0000372_00	GO:0001786,GO:0005634,GO:0012506,GO:0005544,GO:0005737,GO:0005886
OG0003809_00	GO:0005332,GO:0071705,GO:0006865,GO:0043005,GO:0035725,GO:0016020,GO:0005886
OG0003135_00	GO:0006508,GO:0008239,GO:0005886
OG0000767_01	GO:0006581,GO:0019695,GO:0052689,GO:0005886,GO:0003990,GO:0005615
OG0002678_00	GO:0018107,GO:0031032,GO:0005737,GO:0007266,GO:0048598,GO:0072518,GO:0030866,GO:0000281,GO:0005856,GO:0004674,GO:1901888
OG0004463_00	GO:0005730,GO:0035064,GO:0042149,GO:0005677,GO:0033553,GO:0008168,GO:0046015,GO:0000183
OG0000173_02	GO:0016405
OG0006573_00	GO:0005643,GO:0017056
OG0009231_00	GO:0000049,GO:0016301
OG0002354_00	GO:0005615,GO:0031012
OG0003407_00	GO:0000785,GO:0006357,GO:0000978,GO:0000981,GO:0005667
OG0008792_00	GO:0003712,GO:0070847,GO:0016592,GO:0006357
OG0001791_00	GO:0005634
OG0007582_00	GO:0030014
OG0002602_00	GO:0061630,GO:0072487,GO:0016567
OG0004821_00	GO:0005739,GO:0043231,GO:0006390,GO:0003676,GO:0061668
OG0004115_00	GO:0035721,GO:0030991,GO:0005929,GO:0060271
OG0004520_00	GO:0016020,GO:0006888,GO:0030134,GO:0097020,GO:0000139,GO:0005789
OG0001488_00	GO:0098609,GO:0007229,GO:0005925,GO:0016477,GO:0033627,GO:0007160,GO:0005178,GO:0008305,GO:0009986
OG0001581_00	GO:0045216,GO:0005886,GO:0043296
OG0001840_00	GO:0030424,GO:0005886,GO:0007411,GO:0098609
OG0006427_00	GO:0031175,GO:0048168,GO:0030425
OG0006625_00	GO:0005634,GO:0006364
OG0000418_00	GO:0008010,GO:0062129
OG0004357_00	GO:0016020
OG0004004_00	GO:0051879
OG0000707_00	GO:0004930,GO:0007186,GO:0005886
OG0009555_00	GO:0000981,GO:0003700,GO:0000978,GO:0005634,GO:0006357
OG0003197_00	GO:0034198,GO:0035859,GO:0005774,GO:0035591,GO:1904263
OG0006114_00	GO:0005794
OG0001244_00	GO:0005886,GO:0035725,GO:0005272,GO:0016020,GO:0015280,GO:0006814
OG0005305_00	GO:0010008,GO:0007030,GO:0032418,GO:0032880,GO:0019894
OG0001518_00	GO:0005925,GO:0030424,GO:0019903,GO:0007185,GO:0007409,GO:0007165,GO:0035591
OG0001631_00	GO:0009982,GO:0000455
OG0000235_01	GO:0008010,GO:0062129
OG0005828_00	GO:0032039,GO:0034472
OG0008265_00	GO:0044782,GO:0005813,GO:0036064
OG0007615_00	GO:0005886,GO:0016020
OG0008892_00	GO:1902936,GO:0016020
OG0002784_00	GO:0010468,GO:0005634
OG0006285_00	GO:0000445,GO:0006406
OG0002765_00	GO:0097352,GO:0005737
OG0005849_00	GO:0004222,GO:0006509,GO:0007219,GO:0005886
OG0008529_00	GO:0050930,GO:0005125
OG0000983_00	GO:0140673,GO:0000785,GO:0003677,GO:0031491
OG0002336_00	GO:0043005
OG0001579_00	GO:0006606
OG0004111_00	GO:0006260,GO:0003677,GO:0031261,GO:0005664,GO:0005656,GO:0006270,GO:0003688
OG0004825_00	GO:0000070,GO:0007094,GO:0005737,GO:1990423,GO:0031267,GO:0005828,GO:1903394
OG0001844_00	GO:0004674,GO:0005634,GO:0044773
OG0006423_00	GO:0008146,GO:0016051,GO:0016020
OG0000230_00	GO:0004252
OG0006621_00	GO:1990923,GO:0034587
OG0004524_00	GO:0005737
OG0006587_00	GO:0000813,GO:0032801,GO:0005829,GO:0046755,GO:0032510,GO:0019075,GO:0042058
OG0005407_00	GO:0000978,GO:0005634,GO:0001227,GO:0000122
OG0007463_00	GO:0004620,GO:0009395,GO:0005576
OG0001616_00	GO:0005764
OG0007632_00	GO:0008081
OG0007030_00	GO:0005737
OG0005322_00	GO:0005739
OG0001223_00	GO:0005634,GO:0006357,GO:0005667
OG0008085_00	GO:0005829,GO:0007266,GO:0008361,GO:0050770,GO:0005096
OG0009015_00	GO:0016020,GO:1902936
OG0002735_00	GO:0045944,GO:0000981,GO:0006357,GO:0090575,GO:0000977,GO:0003700
OG0002340_00	GO:0009790,GO:0000981,GO:0005634,GO:0006357,GO:0000977,GO:0009880,GO:0048619
OG0008456_00	GO:0042826,GO:0005737,GO:0005634
OG0005976_00	GO:0005221,GO:0044877
OG0008550_00	GO:0070593,GO:0007156,GO:0030424,GO:0005886,GO:0007411,GO:0098632
OG0005830_00	GO:0005634,GO:0003714,GO:0045892,GO:0008134
OG0005526_00	GO:0004869,GO:0043066,GO:0005634
OG0006075_00	GO:0046961,GO:0033179,GO:1902600,GO:0033181,GO:0055085
OG0000566_01	GO:0005789,GO:0042058,GO:0050708
OG0005629_00	GO:0016020,GO:0005737,GO:0005044
OG0001333_00	GO:0016020
OG0004748_00	GO:0009887,GO:0045944,GO:0003682,GO:0035517
OG0003954_00	GO:0005829,GO:0006886,GO:0000139,GO:0042147,GO:0034066
OG0002027_00	GO:0017061,GO:0019509,GO:0005829
OG0003262_00	GO:0009101,GO:0008250
OG0000677_01	GO:0045944,GO:0005634,GO:0010468
OG0005124_00	GO:1990837,GO:0010468
OG0007034_00	GO:0016020,GO:0008146,GO:0016051
OG0001227_00	GO:0003857,GO:0005739,GO:0006635
OG0001739_00	GO:0004439,GO:0046856,GO:0005886,GO:0005737,GO:0001726
OG0007636_00	GO:0005747
OG0007467_00	GO:0031462
OG0005326_00	GO:0005739,GO:0018773
OG0006583_00	GO:0042776,GO:0046933,GO:0005753
OG0001612_00	GO:0003735,GO:0006412,GO:0005840
OG0008057_00	GO:0016020
OG0004493_00	GO:0005737
OG0003588_00	GO:0005739
OG0002858_00	GO:0036396,GO:0016556
OG0002740_00	GO:0006491,GO:0004553,GO:0090599
OG0008935_00	GO:0036503
OG0008759_00	GO:0007186,GO:0046488,GO:0007265,GO:0035556,GO:0051209,GO:0004435,GO:0048015
OG0007992_00	GO:0005737,GO:0055105
OG0005341_00	GO:0043001,GO:0000139,GO:0034067,GO:0006895,GO:0005802
OG0002317_00	GO:0030182,GO:0005634,GO:0006357,GO:0007417,GO:0000981,GO:0000978,GO:0007420
OG0008221_00	GO:0033499,GO:0005996,GO:0005829,GO:0003978
OG0002124_00	GO:0016887,GO:0043529,GO:0005524,GO:0071816
OG0007549_00	GO:0006629,GO:0071763,GO:0005637
OG0001091_00	GO:0008234
OG0001280_00	GO:0007275,GO:0033674,GO:0005886,GO:0004714,GO:0007169,GO:0043235
OG0000694_01	GO:0045505,GO:0007018,GO:0030286,GO:0005858,GO:0051959
OG0004370_00	GO:0005634,GO:0003729
OG0009382_00	GO:0005737
OG0000565_00	GO:0005634,GO:0045944,GO:0010468
OG0005580_00	GO:0051604,GO:0016787,GO:0005737,GO:0004298
OG0006400_00	GO:0003755,GO:0005634,GO:0005829
OG0001863_00	GO:0099536,GO:0005886
OG0006376_00	GO:0005737,GO:0043488,GO:0008143,GO:0005634,GO:1900364
OG0000136_00	GO:0031398
OG0007802_00	GO:0006388,GO:0051731,GO:0006396,GO:0005634,GO:0006378
OG0006892_00	GO:0000978,GO:0007417,GO:0030182,GO:0000981,GO:0005634,GO:0007420,GO:0006357
OG0000750_01	GO:2000650,GO:0016567,GO:0048814,GO:0005737,GO:0006511,GO:0019871,GO:0061630
OG0000448_01	GO:0015749,GO:0015149,GO:0016020
OG0001466_00	GO:0006355,GO:0043130
OG0005017_00	GO:0010468,GO:0005634
OG0003994_00	GO:0004722
OG0004986_00	GO:0016020
OG0007368_00	GO:0005813,GO:0060271,GO:0097730,GO:0061512,GO:0005737,GO:0030990,GO:0036064,GO:0097546
OG0005810_00	GO:0004089,GO:0008270
OG0004989_00	GO:0006378,GO:0003723,GO:0006398,GO:0004534,GO:0005847,GO:0004521
OG0003672_00	GO:0004674,GO:0000086,GO:0005634,GO:0004693,GO:0006468,GO:0007095
OG0005018_00	GO:0006810,GO:1990542,GO:0005739
OG0004880_00	GO:0048011,GO:0006469,GO:0032007,GO:0005737
OG0001520_00	GO:0005886,GO:0008188,GO:0007218
OG0002843_00	GO:0097250,GO:0005739
OG0001745_00	GO:0003700,GO:0000981,GO:0005634,GO:0000785,GO:0001708,GO:0006355,GO:0006357,GO:0000978
OG0005378_00	GO:0006325,GO:0005634
OG0007570_00	GO:0071014,GO:0000398,GO:0061632
OG0008218_00	GO:0005634,GO:0043486
